id,tastesgood,caffeine,ritual,laxative,other,selection_ct
gMR29l,,,,,,0
BkPN0e,,,,,,0
W5G8jj,,,,,,0
4xWgGr,,,,,,0
QD27Q8,,,,,,0
V0LPeM,,,,,,0
V0Gaxg,,,,,,0
AdzRL0,,,,,,0
LbWda2,,,,,,0
EXQLWN,,,,,,0
2eNLJg,,,,,,0
xpa2K9,,,,,,0
V00RoJ,,,,,,0
7WWB4A,,,,,,0
pKL8aB,,,,,,0
Zd694B,,,,,,0
QAeYZY,,,,,,0
QA5JYA,,,,,,0
Rz5BPj,,,,,,0
jyDqva,,,,,,0
eB7QoJ,,,,,,0
24xzlg,,,,,,0
DVvoqX,,,,,,0
1r2YJQ,,,,,,0
24xYOV,,,,,,0
AlbYao,,,,,,0
J2krYz,,,,,,0
WAp6ak,,,,,,0
aBr18q,,,,,,0
42NYWO,,,,,,0
6dQ08e,,,,,,0
J2kj9J,,,,,,0
8dpDNA,,,,,,0
EPbVlL,,,,,,0
ylqbBg,1,0,0,0,0,1
vNx6A4,,,,,,0
KMB2og,,,,,,0
qbEQPO,,,,,,0
9dJ0O5,,,,,,0
BGboZR,,,,,,0
oAVNdO,,,,,,0
YZzBdN,1,1,0,0,0,2
VZ17Z6,1,0,0,0,0,1
RzBeZj,1,1,1,0,0,3
0Ej0GZ,,,,,,0
eBxO4l,,,,,,0
WApbkQ,1,0,1,0,0,2
0Ej0WA,1,1,0,0,0,2
9dJYlQ,1,1,0,0,0,2
BGbJzQ,,,,,,0
OABqpR,,,,,,0
bl41Zg,1,1,0,0,0,2
GrBVrk,,,,,,0
WApbYk,1,0,1,0,0,2
eBxG20,1,1,1,0,0,3
24x9NA,,,,,,0
NAB2qB,1,0,1,0,0,2
RzBqoJ,1,1,1,0,0,3
jB98xY,,,,,,0
LdMxB2,,,,,,0
GrBOrz,,,,,,0
5dqajd,1,1,1,0,0,3
VZ1W0E,1,1,1,0,0,3
NABN5G,1,0,1,0,0,2
6dQY8o,1,0,1,0,0,2
WAp6va,1,1,1,0,0,3
EPbVGA,,,,,,0
OABqQp,1,1,1,0,0,3
DVvOop,,,,,,0
KMBrLz,,,,,,0
jB9r21,0,0,1,0,0,1
pLPYLE,1,1,0,0,0,2
oAV8yX,,,,,,0
aBrp0W,,,,,,0
g5NPxK,1,0,0,0,0,1
bl41kE,1,1,1,1,0,4
GrBO1z,1,1,1,0,0,3
xdN8Q9,1,0,0,0,0,1
vNx8Xv,1,1,0,0,0,2
dY2JPN,1,0,1,1,0,3
MAdjLE,1,0,0,0,0,1
6dQ6xo,1,0,0,0,0,1
7d97lZ,1,1,0,0,0,2
0EjqPQ,1,1,1,0,0,3
BGbJD4,1,1,1,1,0,4
9dJYbp,1,1,0,0,0,2
xdNbJ9,1,0,0,0,0,1
EPbVLl,,,,,,0
pLPNQJ,1,1,1,1,0,4
AlbMLW,1,0,1,0,0,2
EPboPq,1,1,0,0,0,2
ylq8yW,1,1,1,1,0,4
J2kEDz,1,0,1,1,0,3
24x9Lg,1,1,0,0,0,2
0EjYb6,1,1,1,0,0,3
ZdRb6a,1,1,1,0,0,3
WApbdP,1,1,1,0,0,3
24xY69,1,0,1,0,0,2
RzBqWd,1,0,1,0,0,2
RzBqLv,1,0,0,0,0,1
oAV8d5,1,1,1,0,0,3
oAV8OM,1,0,1,0,0,2
AlbYyW,1,1,0,0,0,2
KMB4kk,1,1,0,0,0,2
42N0Kd,1,1,1,0,0,3
0Ej0VZ,1,1,0,0,0,2
rlrQQo,1,1,1,0,0,3
vNx84X,1,0,0,0,0,1
OABxLk,1,0,0,0,0,1
MAd2V0,1,0,0,0,0,1
8dpbGk,1,1,1,0,0,3
zKQ8ja,1,0,1,0,0,2
YZzBLJ,0,1,0,0,0,1
QABNdl,1,1,0,0,0,2
8dpbko,1,0,1,0,0,2
XeB6Ee,1,1,1,1,0,4
KMBroK,1,0,0,0,0,1
24x9rg,1,1,1,0,0,3
dY2JjD,0,0,1,0,0,1
LdMjyz,1,0,0,0,0,1
9dJYM1,1,0,1,0,0,2
kYR4rj,1,0,1,0,0,2
pLPN7q,1,0,0,0,0,1
6dQ0eO,1,0,0,0,0,1
42NlLd,1,1,1,1,0,4
LdMxaj,1,0,1,0,0,2
BGbJZ4,1,1,1,1,0,4
J2kER7,1,1,1,0,0,3
eBxgQO,0,0,0,0,1,1
J2kELz,1,0,0,0,0,1
LdMjqJ,1,1,1,0,0,3
oAVNeM,1,1,0,0,0,2
oAVZ95,1,0,1,0,0,2
eBxGvE,1,1,0,0,0,2
g5NPYO,1,1,1,1,0,4
xdNbxo,1,1,0,0,0,2
zKQ8ZZ,1,1,1,0,0,3
rlrQxl,1,1,1,1,0,4
VZ1W8N,1,1,1,1,0,4
WAp6PN,1,1,1,0,0,3
DVvo9l,1,1,1,1,0,4
ylqAdB,1,1,0,0,0,2
rlrQP2,,,,,,0
EPbo0L,1,1,1,1,1,5
ylqAY6,1,0,0,0,0,1
AlbR7B,1,0,0,0,0,1
EPbVxA,1,0,0,0,0,1
BGboo4,1,1,0,0,0,2
dY2GGD,1,1,0,0,0,2
oAV8o5,1,0,1,0,0,2
WApa9N,0,0,0,1,0,1
BGbJE5,0,1,0,0,0,1
0EjzA9,1,1,1,0,0,3
vNx6YX,1,1,0,0,0,2
WApaAQ,1,0,1,0,0,2
J2krZX,1,1,0,0,0,2
oAVN6V,1,1,0,0,0,2
VZ1WVN,1,1,0,0,0,2
42Nlko,1,1,1,0,0,3
RzBq4P,1,0,0,0,0,1
1r2QM4,1,0,0,0,0,1
LdM4d2,1,1,0,0,0,2
42N0dB,1,1,0,0,0,2
jB98M9,1,0,0,0,0,1
1r205O,1,0,1,0,0,2
5dq0yE,1,0,1,0,0,2
YZzb4N,1,0,0,0,0,1
QABq7Y,1,0,1,0,0,2
PABQDd,1,0,1,0,0,2
9dJY7E,1,1,1,0,0,3
24xYgM,1,1,1,0,0,3
KMB25K,1,0,0,0,0,1
RzBqzP,,,,,,0
GrBEvo,1,0,1,0,0,2
rlrQrv,1,1,0,0,0,2
LdMxpz,1,1,1,0,0,3
ZdRblA,1,0,1,0,0,2
bl4My7,1,1,1,1,0,4
XeB72d,1,1,0,0,0,2
zKQBXq,1,1,1,0,0,3
rlr9Yv,1,1,0,0,0,2
dY2GNy,1,1,1,1,0,4
zKQA18,1,1,1,0,0,3
ZdRAAV,1,0,1,0,0,2
VZ17Ev,1,1,1,0,0,3
NAB2Ab,1,0,1,0,0,2
rlr9yM,1,1,1,0,0,3
5dqYbv,1,1,0,0,0,2
AlbRKW,1,1,1,0,0,3
ylqb6X,1,0,0,0,0,1
dY2o6d,,,,,,0
dY2oKz,1,0,0,0,0,1
oAVN61,1,1,1,0,0,3
rlr9yv,1,0,1,0,0,2
kYR4Nr,1,1,1,1,0,4
zKQ4kq,1,1,0,0,0,2
RzBeoP,1,0,0,0,0,1
24xYJL,1,0,1,0,0,2
ZdRAWA,1,1,1,0,0,3
rlr9OL,1,0,1,0,0,2
PABQdQ,1,1,0,0,0,2
1r20NQ,1,0,1,0,0,2
qbEqj2,1,1,1,0,0,3
g5NV9P,1,1,0,0,0,2
42NY8Y,1,1,0,0,0,2
GrBVJp,1,1,1,0,0,3
7d90RL,1,0,0,0,0,1
lNl8WV,1,1,0,0,0,2
vNxaEA,1,1,0,0,0,2
0EjY5P,1,0,1,0,0,2
eBxO5q,1,0,0,0,0,1
blx47Z,,,,,,0
lNlXyB,1,1,1,0,1,4
1r2Yx4,1,1,1,0,0,3
1r20WM,1,1,1,0,0,3
J2krad,1,1,1,1,0,4
DVvo05,1,0,1,0,0,2
VZ1aJj,1,1,1,0,0,3
42N0ab,,,,,,0
aBrJxZ,1,0,1,0,0,2
9dJ0qG,1,1,1,0,0,3
PABN1x,1,0,1,0,0,2
8dpDDk,1,1,1,0,0,3
qA2y0O,,,,,,0
V0ELg6,,,,,,0
zKQ8Qg,,,,,,0
VZ1WYN,1,1,1,0,0,3
jB98W1,,,,,,0
24x9Rj,,,,,,0
rlr82o,,,,,,0
QABNj7,,,,,,0
vNx8El,,,,,,0
jB98WY,1,0,1,0,0,2
LdM4Op,,,,,,0
qbE8gG,,,,,,0
bl41zZ,,,,,,0
xdN8yk,1,1,1,0,0,3
rlr8LX,1,0,0,0,0,1
jB98ga,,,,,,0
pLPY01,,,,,,0
GrBODO,1,0,0,0,0,1
7d97a0,1,0,1,0,0,2
WApale,1,1,0,0,0,2
0EjqlN,,,,,,0
oAV8dN,1,0,0,0,0,1
0Ejqaj,,,,,,0
5dqaeZ,1,1,0,0,0,2
g5N8v4,1,0,1,0,0,2
oAV8lb,1,0,0,0,0,1
AlbMyz,,,,,,0
jB9871,1,1,0,0,0,2
9dJA2E,1,1,0,0,0,2
PABZBx,1,0,1,1,0,3
DVvRWR,1,0,1,0,0,2
dY2JDV,1,1,0,0,0,2
bl41Y1,1,0,1,0,0,2
rlr8vR,1,1,0,0,0,2
xdN89d,1,1,1,0,0,3
kYR8Jo,1,1,1,0,0,3
YZz7xW,1,0,1,1,0,3
RzBq29,,,,,,0
24x9DD,,,,,,0
rlr8k2,1,0,0,0,0,1
7d97ER,1,0,1,0,0,2
GrBOBO,1,1,1,0,0,3
42NlPr,1,0,0,0,0,1
XeB6OP,1,1,1,0,0,3
VZ1W4y,1,0,1,0,0,2
kYR8ve,1,1,1,0,0,3
YZz7oN,1,0,1,0,0,2
OABxYM,1,1,1,0,0,3
xdN8lv,1,1,1,0,0,3
eBxgYk,1,1,0,0,0,2
RzBqj9,1,1,0,0,0,2
1r2QGg,1,0,0,0,0,1
pLPYZJ,,,,,,0
MAdj6k,1,0,1,0,0,2
OABxER,1,1,1,0,0,3
BGbJ0K,1,1,0,1,0,3
qbE8jO,1,0,0,0,0,1
kYR8ze,1,0,0,0,0,1
GrBODQ,1,1,1,0,0,3
vNx8KD,1,0,1,0,0,2
oAV8VN,1,0,1,0,0,2
VZ1Wxg,1,1,1,0,0,3
24x9Oe,1,1,1,0,0,3
KMBrO8,1,0,0,0,0,1
WApa1v,1,1,0,0,0,2
bl41gL,0,1,0,0,0,1
EPbovB,0,1,0,0,0,1
ylq8e8,1,1,1,0,0,3
24x9ZL,1,0,1,0,0,2
MAdjGM,1,0,1,0,0,2
24x9Zj,1,0,1,0,0,2
rlr8kR,1,1,1,1,0,4
g5N8pl,1,1,0,1,0,3
rlr8qN,1,0,0,0,0,1
ylq87g,1,0,0,0,0,1
GrBO7Z,1,1,1,1,0,4
NAB2Rj,1,0,1,0,0,2
RzBqkj,1,0,0,0,0,1
xdN86r,1,1,1,0,0,3
9dJArQ,0,1,0,0,0,1
EPboa4,1,0,0,0,0,1
WApaQN,1,1,1,1,0,4
42NlN5,1,0,1,0,0,2
AlbM50,1,1,0,1,0,3
QABNap,1,1,1,0,0,3
dY2Jkd,1,0,0,0,0,1
RzBqr9,1,0,0,0,0,1
lNl89W,1,1,1,1,0,4
PABZGB,0,1,1,1,0,3
RzBqjj,1,0,1,0,0,2
LdM4ov,1,0,1,0,0,2
GrBO5k,1,0,1,0,0,2
ZdRbWo,1,1,1,1,0,4
AlbMQD,1,0,1,0,0,2
42NlqX,1,0,1,0,0,2
24x9D9,1,0,1,0,0,2
oAV81V,1,1,0,0,0,2
QABNE7,1,1,1,0,0,3
6dQ6QN,1,1,0,0,0,2
KMBrkV,1,0,0,0,0,1
g5N8NJ,1,1,1,1,0,4
aBrpab,1,1,0,1,0,3
OABxVR,,,,,,0
aBrpPq,,,,,,0
bl41vZ,1,1,0,0,0,2
oAV8kO,,,,,,0
qbE8NG,1,1,0,0,0,2
eBxgoe,1,0,1,1,0,3
aBrpkB,1,1,1,0,0,3
vNx8g0,1,1,1,1,0,4
NAB2Ol,1,1,0,0,0,2
GrBObk,1,1,1,0,0,3
kYR8x1,1,1,1,0,0,3
g5N8z4,1,1,0,0,0,2
lNl8zv,1,1,1,0,0,3
jB98z4,1,0,1,0,0,2
RzBqVj,1,0,0,0,0,1
BGbJ6Q,1,0,1,0,0,2
5dqagd,,,,,,0
QABN8Y,1,0,0,0,0,1
24x9o9,1,0,1,0,0,2
BGbJ9Q,1,1,0,0,0,2
PABZrV,1,0,0,0,0,1
lNl84k,1,0,1,0,0,2
rlr8YR,1,1,1,0,0,3
zKQ8L0,1,1,1,1,0,4
NAB2El,1,1,1,0,0,3
9dJAMV,1,0,1,0,0,2
YZz79J,1,1,0,0,0,2
5dqaod,1,1,1,1,0,4
GrBOgp,1,0,1,0,0,2
dY2Jgo,1,1,0,0,0,2
AlbMAe,1,0,0,0,0,1
XeB6d4,1,1,0,0,0,2
QABNX8,1,0,0,0,0,1
1r2QBp,1,0,1,0,0,2
VZ1WY6,1,0,1,0,0,2
LdM4Vv,1,0,0,0,0,1
6dQ6MJ,1,1,1,0,0,3
oAV8vx,1,1,1,0,0,3
oAV8gP,1,1,0,0,0,2
EPboJ2,1,0,1,1,1,4
MAdjVA,1,1,0,0,0,2
EPboEX,1,1,0,0,0,2
6dQ64k,1,1,0,0,0,2
NAB240,1,0,0,0,0,1
pLPYzB,1,0,0,0,0,1
OABxEg,1,0,0,0,0,1
NAB2gB,1,0,1,0,0,2
vNx8vQ,1,1,1,0,0,3
LdM4yj,,,,,,0
qbE8k9,1,1,0,0,0,2
qbE8v9,1,0,0,1,0,2
dY2J8d,1,0,0,0,0,1
jB98Yx,0,1,0,0,0,1
rlr8gN,1,0,1,1,0,3
XeB6Ng,1,0,1,0,0,2
OABx97,1,1,0,0,0,2
42NlEX,1,0,1,0,0,2
LdM4al,1,0,0,0,0,1
ZdRbDB,1,0,0,0,0,1
6dQ6Vk,1,0,0,0,0,1
8dpbVx,1,1,0,0,0,2
6dQ65P,1,1,1,0,0,3
1r2Q6l,1,1,1,0,0,3
7d97MR,1,1,0,0,0,2
ylq8GB,1,0,1,1,0,3
kYR8p1,1,0,1,0,0,2
8dpbgx,1,1,1,1,0,4
VZ1Wqg,1,1,1,0,0,3
WApaBa,1,1,1,0,1,4
dY2J1q,1,0,1,0,0,2
vNx8W0,1,0,0,0,0,1
5dqaOo,1,1,0,0,0,2
QABNWp,1,0,1,0,0,2
ZdRbQo,1,0,1,0,0,2
NAB2yB,1,0,0,0,0,1
oAV81e,0,0,1,0,0,1
PABZYx,1,1,0,0,0,2
PABZWb,1,1,1,0,0,3
XeB6v4,1,0,1,0,0,2
9dJAxQ,1,1,0,0,0,2
DVvRE5,1,0,1,0,0,2
lNl87X,1,1,1,1,0,4
eBxgye,1,1,1,0,0,3
aBrpgq,1,1,0,0,0,2
OABxrR,1,1,1,0,0,3
WApajv,,,,,,0
1r2QxQ,1,0,0,0,0,1
AlbM9z,1,1,1,0,0,3
8dpbWO,1,0,1,1,0,3
7d97zA,1,0,0,0,0,1
24x9zV,1,1,0,0,0,2
VZ1W9j,,,,,,0
rlr8YN,1,1,1,0,0,3
xdN80d,1,1,0,0,0,2
1r2QgW,1,0,0,0,0,1
EPbo64,1,1,1,0,0,3
qbE877,1,0,1,0,0,2
KMBrGV,1,1,0,0,0,2
6dQ6WY,1,0,1,0,0,2
EPboA4,0,0,1,0,0,1
PABZy5,1,0,1,0,0,2
ZdRbgz,1,1,0,0,0,2
EPbo6r,1,0,0,0,0,1
6dQ6zB,1,1,1,0,0,3
LdM4Ey,1,0,1,0,0,2
ylq8gg,1,1,1,0,0,3
42NlOY,1,0,1,0,0,2
MAdjPM,1,0,1,0,0,2
8dpb5O,1,1,1,0,0,3
1r2QRl,1,1,0,1,0,3
jB985Q,1,1,0,0,0,2
J2kEBo,0,1,0,0,0,1
eBxgvk,1,0,1,0,0,2
7d97jZ,1,0,0,0,0,1
dY2JzK,1,1,1,1,0,4
PABZe5,1,1,0,0,0,2
J2kEGo,1,1,0,0,0,2
ylq8zx,1,1,1,0,0,3
WApapR,,,,,,0
xdN8z5,1,0,0,0,1,2
NAB2dj,1,0,0,0,0,1
ylq81x,1,0,0,0,0,1
vNx8zD,1,0,1,0,1,3
oAV8zP,1,1,1,0,0,3
QABNkG,1,1,0,0,0,2
8dpbDA,,,,,,0
YZz760,,,,,,0
PABZqd,1,1,0,0,0,2
oAV8LX,1,1,1,1,0,4
XeB6Pd,1,1,1,0,0,3
AlbMRB,1,1,0,0,0,2
jB98XR,1,1,0,0,0,2
NAB2Zb,0,0,1,0,0,1
aBrpMy,1,1,1,0,0,3
OABxKK,1,1,0,0,0,2
pLPYlP,,,,,,0
EPbooq,1,0,0,0,0,1
XeB6je,,,,,,0
PABZq0,1,1,0,0,0,2
GrBOE2,1,1,0,0,0,2
pLPYYZ,1,1,1,0,0,3
GrBOVj,1,1,1,0,0,3
DVvROb,,,,,,0
rlr8Z5,1,1,0,0,0,2
KMBr2M,1,1,0,0,0,2
kYR8BJ,1,0,1,0,0,2
aBrpJ9,1,0,1,0,0,2
bl41a0,1,1,1,0,0,3
RzBqyp,1,0,1,0,0,2
1r2Q0M,1,1,0,1,0,3
GrBOO2,1,0,0,0,0,1
jB98V6,1,1,1,0,0,3
QABNpg,1,1,1,0,0,3
DVvR6j,1,0,1,0,0,2
xdN8q9,1,1,0,0,0,2
xdN8W9,1,0,0,0,0,1
9dJAzX,,,,,,0
rlr8ep,1,0,0,0,0,1
WApa4L,1,0,1,0,0,2
lNl8pV,1,1,1,0,0,3
9dJAbX,1,1,1,1,0,4
zKQ8A1,1,1,1,0,0,3
QABNP1,1,0,0,0,0,1
pLPYEE,1,0,0,0,0,1
GrBOMQ,1,1,1,1,0,4
RzBqpQ,1,0,0,0,0,1
24x9MM,1,0,0,0,0,1
7d9rX0,1,0,1,0,0,2
YZz72z,1,0,0,0,0,1
42Nl0b,1,1,1,1,0,4
lNl8JX,0,0,1,0,0,1
xdN8kd,1,0,0,0,0,1
VZ1WWE,1,1,0,0,0,2
bl4QV6,0,1,0,0,0,1
LdM4xG,0,1,1,1,0,3
VZ1OLj,1,1,0,0,0,2
KMBrrk,1,0,1,0,0,2
5dqaWQ,1,1,1,1,0,4
NAB22W,1,0,1,0,0,2
eBxWZx,1,0,1,0,0,2
OABxOM,1,0,0,0,0,1
lNl825,1,1,0,0,0,2
EPboy2,1,0,1,0,0,2
LdM48z,1,1,1,0,0,3
KMBKYX,1,1,0,0,0,2
NAB21W,1,1,1,0,0,3
42NlMo,1,0,1,0,0,2
BGbJv4,1,0,0,0,0,1
rlr8No,1,0,0,1,0,2
24xGEe,1,1,1,0,0,3
lNlkBN,1,0,0,0,0,1
eBxWae,1,1,1,0,0,3
WApavR,1,1,1,0,0,3
1r2o9p,1,1,1,0,0,3
OABM7R,1,0,1,0,0,2
aBrqOX,1,1,0,1,0,3
qbE1GG,1,1,1,0,0,3
8dp4aP,1,1,1,0,0,3
0EjR7j,1,1,0,0,0,2
YZz7EN,1,1,0,0,0,2
OABxRk,1,1,1,0,0,3
AlbMgN,1,0,1,0,0,2
lNlk6k,,,,,,0
OABxWM,1,1,0,0,0,2
xdN5Yy,1,1,1,0,0,3
AlbMYB,1,1,0,1,0,3
ylq5Jg,1,0,0,0,0,1
VZ1WRj,1,0,0,0,0,1
jB9Ala,1,1,0,0,0,2
YZzl4B,1,1,0,0,0,2
J2kvz4,1,0,1,0,0,2
oAV8W5,1,0,0,0,0,1
oAVLGe,1,1,1,0,0,3
KMBKlA,1,0,0,0,0,1
6dQEDY,0,0,1,0,0,1
1r2o7Q,1,0,0,0,0,1
1r2oVQ,1,1,1,0,0,3
0EjR8y,1,1,1,0,0,3
LdMLzp,1,0,1,0,0,2
LdML7p,1,0,1,0,0,2
jB9Ab4,1,1,0,0,0,2
aBrq4B,1,0,0,0,0,1
DVv6Nq,1,0,0,0,0,1
DVv6pR,1,1,0,0,0,2
rlrMON,1,0,0,0,0,1
g5N6Ml,1,0,1,0,0,2
NAB1oB,1,0,0,0,0,1
VZ1Ojy,1,1,1,0,0,3
dY2exq,1,1,0,0,0,2
RzByo9,1,0,1,0,0,2
rlrMoN,,,,,,0
XeBP4g,1,1,1,1,0,4
DVv6qN,,,,,,0
vNx5P0,1,0,1,0,0,2
6dQEZk,1,0,0,0,1,2
qbE1d7,,,,,,0
bl4QeL,1,0,1,0,0,2
PABJ55,1,0,0,0,0,1
aBrq9b,1,0,0,0,0,1
LdMLPv,1,1,0,0,0,2
qbE1VY,1,1,1,0,0,3
oAVLEx,1,0,0,1,0,2
PABJ1V,1,1,0,0,0,2
0EjR6N,1,1,1,0,0,3
BGbW75,1,0,0,0,0,1
8dp4L5,1,1,0,1,0,3
GrBARZ,1,0,1,0,0,2
rlrMBR,1,0,0,1,0,2
J2kEvY,,,,,,0
GrBAve,1,0,1,0,0,2
g5N6qO,1,1,0,0,0,2
J2kvOo,1,0,0,0,0,1
GrBAlp,1,1,1,0,0,3
7d9r2P,1,1,0,0,0,2
1r2odl,1,0,0,0,0,1
J2kvdR,1,1,1,0,0,3
jB9APx,1,1,1,0,0,3
DVv6kZ,1,0,0,0,0,1
xdN8Ok,0,0,1,0,0,1
NAB1qO,1,1,1,0,0,3
GrBA9Z,1,0,0,0,0,1
bl4Qdg,1,1,0,0,0,2
5dqPZo,1,1,0,0,0,2
J2kEyz,1,1,1,0,0,3
jB98j9,1,0,1,0,0,2
DVv67R,1,0,0,1,0,2
QABlV8,1,1,1,1,0,4
LdMLpj,1,0,1,0,0,2
42NVrX,1,1,0,0,0,2
VZ1OpM,1,1,1,0,0,3
42NlWr,1,1,0,0,0,2
KMBKV8,1,0,1,0,0,2
aBrq6q,1,1,1,0,0,3
oAVLeP,,,,,,0
YZzlPW,1,0,1,0,0,2
zKQ5jM,1,1,1,1,1,5
XeBPJY,1,1,1,0,0,3
kYRB61,1,1,1,0,0,3
zKQ5y0,1,0,0,0,0,1
RzBy5d,1,1,1,0,0,3
ZdRrNy,1,1,0,0,0,2
6dQE7B,1,1,1,0,0,3
0EjRey,1,1,1,0,0,3
QABlDp,1,1,1,0,0,3
24xGB9,1,1,0,0,0,2
EPb7QX,1,0,1,0,0,2
qbE1AY,1,1,1,0,0,3
RzByD9,1,1,0,0,0,2
42NVQY,1,0,0,1,0,2
EPb7XX,1,0,0,0,0,1
Albe2z,1,1,1,0,0,3
PABJ9V,1,1,0,0,0,2
rlrM5R,1,0,1,0,0,2
kYR8Pj,1,0,1,0,0,2
J2kvqK,1,1,0,0,0,2
J2kv1K,1,1,1,1,0,4
PABJpB,1,0,0,0,0,1
EPb7l4,1,0,1,0,0,2
XeBP0j,1,0,0,0,0,1
vNx5Yv,1,1,1,0,0,3
NAB1WB,1,1,1,0,0,3
42NV8k,1,1,1,0,0,3
VZ1OQg,1,0,1,0,1,3
LdMLWj,1,0,1,0,0,2
LdMLKv,1,1,0,1,0,3
zKQ5Ya,0,0,0,1,0,1
pLPpoJ,1,1,0,0,0,2
lNlkqv,1,0,0,0,1,2
GrBO2O,1,1,0,0,0,2
KMBK1A,0,1,1,0,0,2
dY2e9o,1,0,1,0,0,2
9dJjQp,1,1,1,0,0,3
QABl58,1,1,1,0,0,3
BGbWk5,1,0,1,0,0,2
24xGPj,1,0,0,0,0,1
0EjRdB,1,1,0,0,0,2
RzByPd,1,1,1,0,0,3
RzBq9P,1,0,0,0,0,1
PABJ65,1,1,0,0,0,2
oAVLRP,1,0,1,0,0,2
24xGPL,0,1,0,0,0,1
rlr84L,1,0,1,0,0,2
VZ1O0v,1,0,1,0,0,2
8dp4xO,1,1,0,0,0,2
bl4QWL,1,0,1,0,1,3
qbE1a9,1,1,1,0,0,3
VZ1O5J,1,1,0,0,0,2
rlrMPl,0,1,0,1,0,2
EPb7XN,1,0,0,0,0,1
dY2e0o,1,0,1,0,0,2
lNlkyB,1,0,1,0,0,2
BGbJo7,1,0,0,0,1,2
xdN5ay,1,1,1,0,0,3
GrBAdp,1,0,0,0,0,1
BGbWxQ,1,1,1,0,0,3
MAdpzp,1,1,1,1,0,4
RzBy0J,1,0,0,0,0,1
PABJ1e,1,1,0,0,0,2
XeBPWj,1,1,0,0,0,2
g5N6Gl,1,0,0,0,1,2
jB9AZJ,1,1,1,0,0,3
g5N6e4,1,1,1,0,0,3
0Ejq9Q,1,0,1,0,0,2
xdN8EG,1,0,0,0,0,1
zKQ5Da,1,1,1,1,0,4
xdN5Xv,1,0,1,0,0,2
24xGAj,1,0,1,0,0,2
lNl8j5,1,1,1,0,0,3
YZz7Nv,1,1,0,1,0,3
VZ1OEj,1,1,0,0,0,2
oAVLAV,,,,,,0
vNx52A,,,,,,0
